NIM,BAHASA INDONESIA,BAHASA SUMBAWA,BAHASA LOMBOK
Suan Seplara (221001056),hari,ano,
,pergi,lalo,
,makan,mangan,
,berjalan,belangan,
,besok,nawar,
,kucing,bodok,
,nenek/kakek,abe,
,lusa,puan,
,kemarin,seperap,
,sawah,uma,
,rumah,bale,
,tangan,ima,
,rumput,rebu,
,piring,talang,
,bicara,berape,
,kelapa,nyer,
,semangka,lene,
,sendok,sidu,
,berlari,belari,
,tendang,sepak,
,orang,tau,
,tangga,anar,
,parang,berang,
,lumpur,upak,
,sampah,roro,
,semut,semit,
,ular,bele,
,pegang,enti,
,pukul,pukel,
,jatuh,teri,
,bangun,koat,
,naik,entek,
,turun,turen,
,duduk,tokal,
,berdiri,manang,
,bunga,kemang,
,ambil,ete,
,cubit,teki,
,lempar,plentong,
,bagus,balong,
,tersandung,kemantil,
,lihat,ingo,
,malam,petang,
,besar,rango,
,cepat,lema,
,satukan,sesai,
,nanti,endi,
,hati,ate,
,tengkurap,langkap,
,mangga,pelam,
,laut,let,
,kotor,lesik,
,pinjam,sole,
,nonton,manto,
,masuk,tama,
,banyak,peno,
,guntur,gunter,
,nafas,iyak,
,ranting,bewe,
,daun,godong,
,terbang,ngibar,
,semua,serea,
,dekat,parak,
,mencuri,nyoro,
,nyamuk,rengit,
,kecil,ode,
,cari,buya,
,kembali,remalik,
,tangan,ima,
,dengar,menong,
,lihat,ingo,
,sembunyi,besio,
,tersandung,kemantil,
,jatuh,teri,
,kelahi,bekepa,
,bertanya,beketoan,
,dengar,menong,
,menunggu,betari,
,jelek,lenge,
,marah,ngamuk,
,pukul,owe',
,pegang,nti,
,garuk,kerok,
,tidur,tunung,
,mau,sate,
,pisang,punti,
,ngantuk,ngantok,
,nginap,ngentang,
,tangkap,bau,
,kejar,apan,
,ambil,ete,
,andai,ajan,
,kangen,totang,
,tunggu,tari,
,pulang,mole,
,dulu,dunung,
,mendengar,menong,
,hitam,pisak,
,baju,lamung,
,celana,seluar,
,hari ini saya membeli nasi bungkus,ano ta aku beli eme poyong,
,saya mau pergi ke kampus,saya sate alo ke kampus,
,ayo pergi makan,tom alo mangan,
,kita pergi kesana berjalan kaki,kita alo kona belangan ene,
,besok saya pergi kesana,nawar aku lalo kona,
,kucing mu lucu sekali,kucing kau lucu benar,
,saya lagi dirumah nenek,aku ntu pang bale abe,
,lusa itu tanggal merah,puan nan tanggal mira,
,kemarin dia kesini,seperap nya lalo kota,
,sawah itu sejuk sekali,uma nan senap benar,
,cepat datang ke rumah kita kerja tugas,lema lalo ko bale kita kerja tugas,
,tangan orang itu dingin sekali,ima tau nan dingin benar,
,rumput itu sudah menguning,rebu nan kam kuning,
,piring nya jangan lupa di lap selesai di cuci,talang nan na kelupa lap jure biso,
,bicara mu jangan cepat-cepat,na kotar-kotar mu berape,
,kelapa itu sudah tidak air nya,nyer nan nomonda ai,
,semangka lebih enak yang warna kuning dari pada yang merah,lene ada nyaman ade warna kuning dari pada ade mira,
,pakai sendok makannya supaya tangan tidak kotor,kenang sidu mangan bau ima no lesek,
,anak itu berlarian di tengah jalan,tode nan belari pang tenga ola,
,tendang bola itu sampai depan pintu,sepak bal nan sampe nangkang lawang,
,orang ini kenapa lama sekali,tau ta kuda lee benar,
,aku jatuh di tangga tadi pagi,aku teri pang anar tone jaga,
,parang itu tajam sekali,berang nan tayam benar,
,banyak lumpur di jalan,peno upak pang ola,
,sampah itu berserakan di depan ruangan,roro nan ngelawer pang angkang ruangan,
,aku digigit semut pas tidur,ka sit ku leng semet pas tunung,
,hati-hati ular itu berbisa,ati-ati bele nan berbisa,
,jangan pegang kaki ku,na' nti ene ku,
,dia di pukul ayah nya karna bohong,nya ya pukel leng bapak leng bola,
,kakak ku jatuh dari motor tadi sore,kakak ku teri kaling motor tone rawi,
,besok bisa bangun pagi,nawar bau koat jaga,
,dia tidak naik kelas karena malas,nya engka entek kelas leng lemang,
,ayo kita turun ke sana,tom kita turen kona,
,duduk santai di taman yuk?,tokal nyantai pang taman tom,
,aku berdiri sampai kaki ku sakit,aku manang sampe ngering ene ku,
,bunga itu bagus tapi sayang nya berduri,kemang nan balong tapi sayang beduri,
,ambil nasi itu buat makan nanti,ete eme nan tawa mangan ndi,
,anak kecil itu menangis karena dicubit temannya,tode ode nan nangis leng ya teki leng dengan,
,dia suka lempar batu ke sungai,nya beri pelentong batu ko berang,
,baju mu hari ini bagus banget,lamung mu ano ta balong benar,
,jalan yang gelap membuatku mudah tersandung,ola ade ungkap pina ku roa kemantil,
,tolong lihat apakah pintu sudah dikunci,tulung ingo kam ke ya kunci lawang,
,dia begadang semalaman untuk menyelesaikan tugas,nya begadang sepetang tawa sejure tugas,
,gedung besar itu akan dijadikan museum,gedung rango nan ya sejadi museum,
,cepat ambil payung sebelum hujan turun,lema ete payong senopoka turen ujan,
,satukan file ini buat satu folder agar rapi,sesai file ta pina sopo folder bau rapi,
,"tolong simpan dulu, nanti aku ambil","tulung sio nung, ndi ku ete",
,jangan simpan dendam di dalam hati,na' sio dendam pang dalam ate,
,dokter menyarankan jangan terlalu lama tengkurap,saran doketr na' terlalu lee langkap,
,banyak sekali buah mangga itu,peno benar bua pelam ana,
,ayo kita mandi ke laut,tom kita maning pang let,
,sepatu mu kotor karena hujan tadi,sepatu mu lesek leng ujan ita,
,bisa aku pinjam baju mu?,bau ku sole lamung mu?,
,aku suka nonton upin & ipin di rumah,aku beri panto upin & ipin pang bale,
,dia masuk sekolah jam 7 pagi,nya tama sekola jam 7 jaga,
,dia membawa banyak buku ke perpustakaan,nya bawa buku peno ke perpus,
,ibu menutup jendela saat guntur datang,emak tutup jendela ntu datang gunter,
,dia kehabisan nafas saat berlarian jauh,nya boe iyak ntu belari do,
,dia duduk di bawah pohon sambil memegang ranting,nya tokal bawa puin sambil nti bewe,
,aku melihat kupu-kupu hinggap di daun,aku ingo kupu-kupu nyampe pang den,
,kupu-kupu terbang di atas bunga,kupu-kupu ngibar pang bao kemang,
,semua orang sudah berkumpul di aula,serea tau kam berkumpul pang aula,
,dia berdiri dekat pintu masuk,nya manang parak ke lawang tama,
,kucing itu suka mencuri ikan di dapur,bodok nan beri soro jangan pang dapur,
,malam ini banyak nyamuk di kamar,petang ta peno rengit pang kamar,
,dia memberi kado dalam kotak kecil,nya beang kado pang dalam kotak ode,
,tolong bantu aku cari kunci yang hilang,tulung bantu ku buya kunci de ilang,
,aku akan kembali besok pagi,aku yak remalik nawar jaga,
,luka ditangan itu sudah sembuh,bakat pang ima nan kam terang,
,dengar baik-baik apa yang aku katakan,menong balong-balong apa leng ku,
,aku ingin lihat hasil ujian besok,aku sate ingo hasil ujian nawar,
,pencuri itu mencoba sembunyi di gudang,taua nyoro nan ya coba besio pang gudang,
,luka lama itu masih membekas sampai sekarang,bakat lee nan masi bekelampa sampe to,
,pipinya basah karena air mata,papar nya basa leng ai mata,
,ibu tertawa melihat anaknya tersandung,emak ketawa gita anak kemantil,
,adik ku jatuh dari sepeda kemarin sore,adi ku teri kaling sepeda seperap rawi,
,jangan suka kelahi dengan teman mu,na' beri bekepa ke dengan mu,
,"jika ingin tahu, bertanya saja langsung","amen sate to, diken bertanya langsung",
,aku suka dengar lagu sebelum tidur,aku beri menong lagu senopoka tunung,
,aku menunggu di depan rumahmu,aku batari pang nangkang bale mu,
,jangan bilang orang lain jelek,na' beling tau len leng,
,kenapa kamu tiba-tiba marah padaku,kuda kau tiba-tiba ngamuk ke aku,
,dia dipukul hingga jatuh ke tanah,nya ya pukil sampe teri pang tana',
,tolong pegang pintu ini sebentar,tulung nti lawang ta sengara,
,"jangan garuk luka itu, nanti infeksi","na garok bakat nan, ndi infeksi",
,kucingku suka tidur diatas bantal,bodok ku beri tunung pang atas galang,
,aku mau pergi ke pasar besok pagi,aku sate alo ko amat nawar jaga,
,pisang itu rasanya manis sekali,punti nan manis benar rasa,
,minum kopi kalau kamu ngantuk,inum kopi amen mu ngantok,
,malam ini aku mau nginap dirumah teman,petang ta aku sate ngentang pang bale dengan,
,tangkap burung itu sebelum terbang lagi,bau pio nan senopoka ngibar kebali,
,mereka kejar layangan yang putus diterbangkan angin,tau nan apan layang ade putis ya sengibar leng angin,
,adik ambil mainan di lemari,adi ete pekedek pang lemari,
,andai semua orang mau saling membantu,ajan serea tau roa saling tulung,
,setiap malam aku merasa kangen rumah,setiap petang aku rasa totang bale,
,jangan menunggu terlalu lama diluar,na' betari terlalu lee pang luar,
,dia belum pulang dari kantor sampai malam,nya nopoka mole kaling kantr sampe petang,
,"biar aku selesaikan ini dulu, baru pergi","beang aku sejure deta dunung, nan po lalo",
,kita harus mendengar pendapat orang lain juga,kita harus menong pendapat tau len ampo,
,aku menulis dengan pulpen hitam,aku nulis ke pulpen pisak,
,aku dengar dia bilang mau pindah sekolah,aku menong nya sate repina sekolah,
,lagi bentar aku kesitu,kaling sengara aku alo konan,
,bantal ini terlalu kecil buat ku,galang ta terlalu ode tawa kaku,
,pakai saja apa yang ada,kenang abe apa ade ada,
,pindah tempat aja besok,repina pang mo nawar,
,ikat saja dia kalau melawan,sat bae nya lamen renyamong,
,petikkan buah jambu itu buat aku,bau bua nyamung nan tawa kau,
,cicak itu nempel di kulit kita,bertik nan nempel pang kulit tu,
,buaya itu sangat bahaya,bahaya benar balo nan,
Detha Putri Saifunnida (221001062),saya,kaji,
,kamu,kelam,
,dia,nya,
,kita,kita,
,kalian,nene,
,siapa,sai,
,makan,mangan,
,minum,inum,
,pergi,alo,
,mendengar,menong,
,melihat,ingo,
,atas,bao,
,bawah,bawa,
,depan,angkang,
,belakang,bungkak,
,pulang,mole,
,cepat,kotar,
,lambat,le,
,panjang,belo,
,pendek,pene,
,mandi,maning,
,pintu,lawang,
,ujung,poto,
,lupa,kelupa,
,ingat,totang,
,menunggu,betari,
,tidak,no,
,iya,iya,
,marah,ngamok,
,kasihan,nanta,
,malam,petang,
,hari,ano,
,matahari,mataano,
,cantik,gera,
,sejuk,senap,
,bagus,balong,
,hati,ate,
,hitam,pisak,
,bohong,bola,
,tidur,tunung,
,ayo,tom,
,kangen,notang,
,teman,dengan,
,laut,let,
,menyebrang,lempat,
,kenapa,kuda,
,orang,tau,
,jemur,sea,
,baju,lamong,
,tolong,tulung,
,jangan,nanta,
,ribut,tomas,
,mangga,pelam,
,meja,mejang,
,kursi,kursi,
,belajar,belajar,
,ibu,ina,
,ayah,bapak,
,adik,adi,
,orang tua,tu loka,
,nasi,me,
,ikan,jangan,
,mencuri,nyoro,
,berjalan,belangan,
,lari,belari,
,belanja,belannya,
,bicara,laong,
,bersama,berema,
,jemur,sea,
,tadi,ita,
,sendirian,mesa,
,sebelum,senopoka,
,sayur,jembrai,
,kami,kami,
,mencuci,biso,
,buah,bua,
,memakan,kakan,
,menikah,pengantan,
,hamil,betian,
,melahirkan,beranak,
,berlebihan,jina,
,baring,ngulang,
,tampar,serapeng,
,hidung,idung,
,air,ai,
,hanyut,kemelar,
,tenggelam,kebelak,
,nakal,kapal,
,cerewet,joeng,
,jatuh,teri,
,lurus,luris,
,mulut,boa,
,jagung,baso,
,rambut,bulu,
,minta,eneng,
,bau,mamong,
,kabar,rungan,
,selimut,leang,
,bertemu,betemung,
,saya makan nasi dan ikan bersama adik.,kaji kakan me ke jangan berema ke adi,
,Kamu jangan bohong kepada orang tua.,kelam na bola ke tu loka,
,Dia berjalan cepat menuju pintu belakang.,nya kotar belangan angkang lawang,
,Kita belajar bersama di atas meja.,kita belajar berema pang bao meja,
,"Kalian ribut sejak tadi pagi, tolong diam.","nene sama tomas kaleng ita jaga, ngaro tedu",
,Siapa yang melihat adik di ujung jalan?,sai ka gita adi pang poto ola?,
,Ayah pulang malam karena harus belanja.,bapak mole petang leng harus alo belanya,
,Ibu mandi di pagi hari sebelum matahari terbit.,ina maning jaga senopoka les mata ano,
,Tolong jemur baju di bawah sinar matahari.,ngaro sea lamong pang bawa mata ano,
,Saya lupa membawa buku belajar ke sekolah.,kaji kelupa bawa buku kenang belajar ko sekolah,
,Kamu ingat tidak dengan teman lama kita?,kelam totang ke no dengan le tu?,
,Jangan lari di dalam rumah,na belari dalam bale,
,Kita makan ikan bakar di tepi laut.,kita mangan ke jangan tunung pang ndeng let,
,Dia mendengar suara dari belakang rumah.,nya ka menong seda kaleng bungkak bale,
,"Ayo tidur sekarang, sudah malam.","tom tunung, kam petang",
,Adik minum susu sambil duduk di kursi.,adi inum susu sambil tokal pang kursi,
,Siapa yang pulang paling lama tadi?,sai de ka mole paling le ita?,
,Hari ini cuacanya sangat sejuk dan bagus.,senap ke balong cuaca anota,
,Kalian jangan marah hanya karena hal kecil.,nene na ngamok kanyong leng hal ode,
,Saya melihat seseorang berdiri di depan pintu.,kaji gita tau manang pang angkang lawang,
,Pelan pelan saat mengendarai motor ya,lao lao pas bawa motor,
,Ibu makan dengan mangga muda.,ina mangan ke pelam uja,
,minta tolong jangan kangen berlebihan.,ngeneng tulung na jina notang,
,Ayah belanja baju di toko baru besar,bapak belanya lamong pang toko rango,
,sepertinya orang itu sedang menunggu,ser tau nan muntu betari,
,Kalian duduk saja dulu,nene tokal bae dunung,
,Dia duduk di kursi panjang dekat laut.,nya tokal pang kursi belo parak ke let,
,Saya kasihan melihat anak kecil itu sendirian.,kaji kenanta gita tode ana mesa,
,Jangan lupa belajar untuk ujian besok.,na kelupa belajar tawa ujian nawar,
,Kita lari pagi agar tubuh sehat.,kita belari jaga bau tubuh sehat,
,"Adik bicara terlalu keras, ibu jadi marah.","adi leong keras lalo, ngamok ina",
,Tolong ambilkan mangga yang jatuh di bawah.,tulung ete pelam de ka teri ko bawa,
,Ibu menyuruh saya tidur cepat malam ini.,ema suru kaji tunung kotar petang ta,
,Kalian jangan suka mencuri,nene na beri nyoro,
,Hari ini matahari terlihat sangat cantik.,anota mata ano gera kengita,
,Kamu duduk di bawah pohon sambil minum teh.,kelam tokal pang bawa puin sambil inum ai the,
,Teman saya bohong pergi ke laut.,dengan kaji bola ka alo ke let,
,Dia melihat orang asing berdiri di ujung jalan.,nya ka gita tau len manang poto ola,
,Ayah tidak suka kalau kamu ribut terus.,bapak no beri lamen kelam tomas teris,
,Kita jangan lupa bawa bekal makan siang.,kita na kelupa bawa me tawa mangan luher,
,Ayo mandi dulu sebelum belajar.,tom maning nong senopoka belajar,
,Orang tua harus menjadi contoh yang baik.,tu loka harus beang contoh de de balong,
,Siapa yang jemur baju di atas meja?,sai de ka sea lamong pang bao meja?,
,Saya ingin pergi ke laut bersama kamu.,kaji sate alo ko let ke kelam,
,Tolong jangan bicara soal itu lagi.,ngeneng tulung na laong hal nan kebali,
,Kamu marah hanya karena lupa makan?,ngamok kelam kanyong leng kelupa mangan?,
,Dia tidur di kursi karena terlalu lelah.,nya tunung pang kursi leng ompa lalo,
,Saya teringat dengan teman masa kecil.,kaji angan dengan muntu ode kaji,
,Jangan berjalan di belakang rumah saat malam.,na belangan pang bungkak bale petang,
,Kita harus ingat untuk pulang kalau sudah waktu.,kita harus tu totang mole lamen kam waya,
,Tolong jangan ribut saat ibu sedang tidur.,Ngeneng tulung na tomas pas ina tunung,
,Ayah duduk di kursi dekat meja makan.,bapak tokal pang kursi parak ke mejang pang mangan,
,Tadi ibu pergi belanja bersama ayah.,tone ina ka alo belanya berema ke bapak,
,Tolong ibu menjemur baju sebelum malam hari,tulung ma sea lamong senopoka petang ano,
,"Jangan lari di dalam rumah, nanti jatuh.","na belari dalam bale, ndi teri",
,Siapa yang mencuri di rumah pak rt?,sai ka nyoro pang bale pak rt?,
,Saya berjalan bersama adik menuju sekolah.,kaji belangan berema ke adi alo ko sekolah,
,Mereka ribut soal meja yang rusak.,tau ana tomas leng mejang rusang,
,Ibu menyuruh saya belajar sebelum tidur.,ina suru kaji belajar senopoka tunung,
,Kita makan mangga bersama di depan rumah,kita kat kakan pelam berema pang angkang bale,
,Ayah duduk di kursi sambil membaca koran.,bapak tokal pang kursi sambil baca koran,
,jangan ganggu adik yang sedang tidur.,na garu adi muntu tunung,
,Saya melihat orang berjalan sendirian di malam malam.,kaji gita tau belangan mesa petang petang,
,Siapa tadi yang bicara keras di kelas?,sai ita de ka keras seda laong pang kelas?,
,"Jangan mencuri barang milik teman, itu perbuatan buruk.","na ete barang ade dengan , boat lenge dean",
,Ibu dan ayah adalah orang tua yang baik,ina ke bapak kaji tau loka de balong,
,Kita belajar bersama sebelum ujian,kita belajar berema senopoka ujian,
,bantu saya jemur baju di halaman.,tulung kaji sea lamong pang pekarangan,
,"Jangan ribut, bayi sedang tidur.","na tomas, tode muntu tunung",
,Saya dan adik belanja sayur bersama ibu.,kaji ke adi belanya jembrai ke ina,
,Tadi saya lupa menyimpan ikan di kulkas.,tone kaji kelupa sio jangan pang kulkas,
,Ayah pulang dari pasar dengan membawa mangga.,bapak mole kaleng amat bawa pelam,
,Kami duduk di meja makan sambil bicara.,kami tokal mangan pang meja mangan sambil laong,
,Jangan suka berjalan sendiri di malam hari.,na beri belangan mesa petang ano,
,Saya melihat adik berlari menuju pintu.,kaji gita adi belari tata lawang,
,Tolong sampaikan pesan ini kepada ibu.,ngaro bada pesan ta ko ina,
,Siapa yang duduk di kursi saya tadi?,sai ka tokal pang kursi saya ita,
,Kita jangan lupa mencuci baju sebelum besok.,kita na kelupa biso lamong senopoka nawar,
,Ikan itu sudah dibersihkan oleh ayah tadi.,jangan nan kam ya sebersi leng bapak tone,
,Orang tua harus menjadi teladan dalam keluarga.,tu loka harus dadi teladan pang dalam keluarga,
,Saya ingin belajar di meja dekat jendela.,kaji sate belajar pang mejang ndeng jendela,
,Tolong jangan bicara kasar kepada orang tua.,ngaro na beleng de kasar ke tu loka,
,Ibu sedang mencuci baju,ina muntu biso lamong,
,Tadi saya melihat seseorang mencuri buah mangga.,tone saya gita tau soro bua pelam,
,Ayah dan ibu sering belanja bersama di pasar.,bapak ke ina roa belanya berema ko amat,
,Jangan lupa mandi sebelum makan malam.,na kelupa maning senopoka mangan,
,Saya merasa kasihan melihat anak itu sendirian.,kaji kenanta gita tode ana mesa,
,Kita akan belajar bersama sore ini.,kita yatu belajar berema rawi ta,
,Tolong ambilkan mangga yang jatuh ke bawah meja.,ngaro ete pelam de ka teri ke bawa meja,
,Adik belajar dengan serius di kursi belakang.,adi belajar serius pang kursi bungkak,
,Ayah menyuruh saya jangan bermain sebelum belajar.,bapak suru kaji na bekedek senopoka belajar,
,Ibu menunggu ayah pulang dari bekerja.,ina tari bapak mole kerja,
,Tolong jangan tinggalkan adik sendirian di rumah.,ngaro na bilen adi mesa pang bale,
,Saya dan teman duduk di kursi dekat laut.,kaji ke dengan tokal ke dengan pang kursi parak ke let,
,Siapa yang memakan nasi dan ikan di sini tadi?,sai ka kakan me ke jangan de pang ta ita?,
,Jangan suka ribut saat pelajaran berlangsung.,na beri tomas muntu pelajaran,
,Kami belajar tentang cara mencuci dan menjemur baju.,kami kat belajar melok cara biso ke sea lamong,
,Tolong bantu ibu menyiapkan meja makan.,tulung ina periri mejang pang mangan,
,"Sebelum tidur, ayah selalu bicara hal baik kepada saya.","senopoka tunung, bapak roa beleng de balong ke saya",
,siapa yang menikah tadi?,sai ka pengantan ita?,
Magfiratul Jannah (221001058),hari,ano,
,gunung,olat,
,tangga,anar,
,pergi,alo,
,kemarin,perap,
,pohon,puen,
,makan,mangan,
,tidur,tunung,
,asin,pare,
,ikan,jangan,
,sayur,jembrai,
,garam,sira,
,rumah,bale,
,kebun,keban,
,matahari,mata ano,
,air,ai,
,membaca,maca,
,berjalan,belangan,
,berlari,belari,
,dingin,ngelar,
,gelap,ungkap,
,kecil,ode,
,besar,rea,
,hitam,pisak,
,pisau,ladeng,
,piring,talang,
,duduk,tokal,
,pintu,lawang,
,enak,nyaman,
,dekat,parak,
,jauh,do,
,panjang,belo,
,pendek,pene,
,tangan,ima,
,kepala,otak,
,daun,godong,
,baju,lamong,
,celana,seluar,
,kenapa,kuda,
,bagaimana,melok,
,siapa,sai,
,dimana,mepang,
,tidak ada,nonda,
,benar,tutu,
,baru,beru,
,lama,le,
,botol,butel,
,saku,pecikang,
,lilin,dila,
,hidung,idong,
,sendok,sidu,
,sandal,sendal,
,orang,tau,
,tidak mau,noto,
,gigi,iset,
,kaki,ne,
,pegang,nti,
,korek,colo,
,lihat,ingo,
,jambu,nyamong,
,mangga,pelam,
,muka,rua,
,bantal,galang,
,cuci piring,berentas,
,cuci baju,mopo,
,bambu,aer,
,sampah,roro,
,pasir,gersek,
,satu,sopo,
,tiga,telu,
,tuju,pitu,
,delapan,balu,
,sembilan,siwa,
,kucing,bodok,
,kerbau,kebo,
,burung,pio,
,katak,lepang,
,belut,linung,
,cacing,belati,
,ular,bele,
,nyamuk,renget,
