NIM,BAHASA INDONESIA,BAHASA SUMBAWA,BAHASA LOMBOK
,kuda,jaran,
,roda,ban,
,mundur,suret,
,kesemuta,kemate,
,jidat,tata,
,kulit,luket,
,kacang,rapo,
,suara,seda,
,ranting,bewe,
,kain,kere,
,kotor,lesek,
,bagus,gera,
,jelek,lenge,
,nunduk,ngunuk,
,pegal,gengal,
,baring,ngulang,
,padi,pade,
,bunga,kemang,
,jagung,baso,
,hari ini ibu dan ayah pergi ke kondangan,amota mak ke bapak alo ko pengantan,
,kemarin teman-teman saya naik gunung,seperap dengan ku lalo ntek olat,
,adik saya jatuh dari tangga,adi ku teri kaleng anar,
,ibu mengajak saya pergi ke pasar,mak ajak ku alo ko amat,
,kemarin hari senin,perap ano senen,
,di depan rumah saya ada pohon jambu,nangkang bale ku ada puen nyamong,
,ayo pergi makan ke rumah saya,tom alo mangan ko bale kaku,
,tadi malam saya susah tidur,serawi kesaket ku tunung,
,"sup ini terasa terlalu asin, mungkin garamnya kebanyakan","sop nan pare lalo, terang peno lalo sira",
,aku makan pakai ikan,aku mangan ke jangan,
,ibu meminta saya untuk memetik sayur,mak suru ku alo bau jembrai,
,kenapa garam rasanya asin,kuda bua sira pare rasa,
,rumah saya banyak orang,bale kaku peno tau,
,ayah membuat pagar bambu di sekitar kebun agar tidak dimasuki hewan,bapak pina pagar aer pang keban bau no tama binatang,
,aku melihat matahari tenggelam,aku gita mata ano selam,
,air sungai sanagt deras setelah hujan,ai berang rea jira ujan,
,tadi malam aku membaca buku,serawi kak maca buku,
,"setiap pagi, ayah dan ibu berjalan keliling komplek",runtung jaga mak ke bapak belangan keliong komplek,
,kucing itu berlari mengejar bola di taman,bodok nan belari apan bal pang taman,
,semalam rasanya sangat dingin sekali,serawi ngelar benar,
,tadi malam sangat gelap karena mati lampu,serawi ungkap benar leng ka mate lampu,
,dia membuat jajan sangat keci,nya ka pina tepong ode lalo,
,hujan kemarin sangat besar,ujan sepreap rea benar,
,tas hitam ibu milik orang itu,tas pisak nan tau nan baeng,
,hati- hati pisau itu sangat tajam,jaga ladeng nan tayam lalo,
,saya membawa 11 piring saat magang,aku bawa solas talang ntu magang,
,"mereka duduk berdua di taman, berbicara tentang tugas hari ini","tau nan tokal dua pang taman, selaong boat ano ta",
,tolong tutup pintu sebelum nyamuk masuk,ngaro tutup lawang senopoka tama renget,
,tidur siang dihari libur itu sangat enak,tunung luher ano libur nan nyaman benar,
,"rumah ku dekat dengan sekolah, jadi aku bisa jalan kaki setiap hari","bale ku parak ke sekolah, jadi bau ku belangan alo runtung ano",
,"jangan berdiri terlalu jauh dari kita, nanti tersesat","na manang do lalo kaleng kita, ndi mu kesasang",
,rambutnya sudah terlalu panjang dan perlu di potong,"bulunya kam belo benar, harus ya tetak",
,dia memakai celana pendek karena cuaca hari ini sanagt panas,nya kenang seluar pene apa cuaca to panas lalo,
,tangan kirinya terluka karena jatuh saat bermain,ima kirinya bakat leng ka teri ntu bekedek,
,"jangan memukul kepala orang lain, itu sangat bahaya","na pukel otak tau, apa bahaya dean",
,seekor ulat kecil berjalan di atas dauh mangga,ulat ode belangan pang bao godong pelam,
,ibu sedang menyetrika baju untuk dipakai besok,mak ntu seterika lamong tawa kenang nawar,
,adik menangis karena celananya robek saat bermain,adi ka nangis leng ka berek seluar ntu bekedek,
,kenapa kamu tidak masuk sekolah kemarin,kuda nongka mu tama sekolah seperap,
,bagaimana kmu bisa sampai sini,melok bau kam dapat ta,
,siapa yang mengetuk pintu itu semalam,sai ka ketok lawang serawi,
,apakah kamu tahu dimana dia tinggal,mu to pang nya tedu,
,"dirumah itu tidak ada sinyal, jadi saya kesulitan menghubungi teman","pang bale nan nonda sinyal, kaleng kesaket ku hubungi dengan",
,apakah kamu benar sakit kemarin,tutu kau saket perap ke,
,aku baru pulang dari padar dan membawa banyak sayur,beru kak mole kaleng amat peno kak bawa jembrai,
,rumah tua itu sudah lama di tinggalkan oleh pemiliknya,bale loka nan le mo kaya bilen leng baeng,
,anak itu menangis karena botol minumnya terjatuh dan pecah,tode nan nangis leng ka teri butel ai kaleng ka bela,
,aku menyimpan kunci motor di saku agar tidak hilang,kak sio kunci motor pang pecikang bau no ilang,
,angin kencang memadamkan lilin yang menyala di jendela,aingin rea ya semate dila pang jendela,
,hidungnya bengkak setelah terpukul bola saat bermain sepak bola,idungna bara ka kena bal muntu main bal,
,dia mengambil sendok di atas meja makan,nya ka ete sidu pang bao meja makan,
,sandal anak kecil itu tertinggal di tengah jalan,sendal tode nan ka ketantang pang tenga ola,
,orang tua itu sedang duduk di bangku taman bersama cucunya,diri loka nan tokal pang taman ke papu,
,dia tidak mau makan satur karena rasanya pahit di mulut,nya noroa kakan jembrai apa pet pang boa,
,"setiap pagi dan malam, aku selalu menyikat gigi",runtung jaga petang rajin ku sikat iset,
,"setelah lama berdiri, kakiku terasa pegal sekali",leng le manang gengal rasa ne kku,
,"tolong pegang gelasnya, jangan sampai terjatuh",ngaro nti gelas na sampe teri,
,tolong ambilkan korek di dalam lemari,ngaro ete colo pang dalam lemari,
,aku tidak bisa lihat apa-apa tanpa kaca mata,nok bau ingo apa apa lamen nonda kaca mata,
,saya memetik jambu yang matang dari pohon belakang rumah.,kak bau nyamong masak pang bungkak bale,
,ayah menanam dua pohon mangga di kebun belakang rumah.,bapak tanang dua puen pelam pang bungkak bale,
,ia mencuci muka setiap pagi agar terasa segar,nya tetap biso muka runtung jaga bau senap,
,di kamar ada empat bantal dengan warna berbeda,pang dalam kamar ada 4 galang len len warna,
,"setelah makan malam, aku langsung cuci piring di dapur","jira mangan petang, langsung ku biso talang",
,dia memakai mesin cuci untuk mencuci baju lebih cepat,nya kenang mesin mopo bau lema,
,di belakang rumah kakek tumbuh pohon bambu yang tinggi dan rimbun.,pang bungkak bale papen tumung aer rea tingi,
,jangan membuang sampah sembarangan di jalan,na bolang roro so pikir pang pang ola,
,sepatu saya penuh dengan pasir setelah jalan-jalan di pantai.,sepatu ku peno gersik jira belangan pang let,
,aku hanya punya satu pensil di dalam tas,aku ada sopo pensil pang tas,
,dia membawa tiga buku dari perpustakaan,nya bawa telu buku kaleng perpus,
,jangan lupa mengunci pintu sebelum tidur,na kelupa kunci lawang senopoka tunung,
,anak itu berusia tujuh tahun sekarang,tode nan pitu ten to,
,ibu membeli sembilan butir telur di pasar,ma beli siwa tele pang amat,
,kucing itu tidur di bawah meja,bodok nan tunung pang anok meja,
,"di desa, masih banyak orang memelihara kerbau","pang desa, masi peno tau peliara kebo",
,anak-anak memberi makan burung di taman,tode beang managn pio pang taman,
,kodok hijau itu bersembunyi di balik daun,lepang ijo nan besio nanok godong,
,belut sawah biasanya bersembunyi di dalam lubang tanah,linong uma biasa besio pang dalam bongkang tana,
,cacing keluar dari tanah setelah hujan turun,belati les kaleng tana jira ujan,
,semalam kami melihat ular besar di pinggir jalan,serawi kat ingo bele rea pang ndeng ola,
,banyak nyamuk beterbangan di kamar saat malam hari,peno renget ngibar pang dalam kamar petang ano,
,kuda itu berlari kencang di tengah sawah,jarang nan belari lema pang tenga uma,
,truk besar memiliki enam roda untuk menahan beban berat,trek rea ada 4 roda tawa taha beban ade berat,
,mobil itu mundur perlahan saat parkir di garasi.,mobil ana suret lao2 ntu parkir pang garasi,
,kaki saya kesemutan karena duduk terlalu lama,ne ku kemate leng le lalo tokal,
,jidat teman saya terbentur pintu saat terburu-buru.,tata dengan ku kepentong ke lawang ntu keputung,
,kulit pisang bisa licin jika terinjak,luket puntu kelet ntu tu rek,
,anak itu alergi terhadap kacang,tode nan alergi ke rapo,
,suara petir tadi malam sangat keras dan mengejutkan,seda gunder serawi keras benar sampai teria,
,ranting pohon itu patah karena tertiup angin kencang,bewe puen nan polak ka kena angin rea,
,ibu membeli kain batik untuk dijahit menjadi baju,ma ka beli kere batek tawa jet senadi lamong,
,sepatu itu sangat kotor karena dipakai saat hujan,sepatu nan lesek benar leng ka kena ntu ujan,
,baju baru kakak terlihat bagus saat dipakai,lamong beru kaka balong tu ingo ntu ya kenang,
,nilai jelek karena tidak belajar sebelum ujiania,lenge nilai leng nongka belajar pas ya ujian,
,ia berjalan sambil nunduk,nya belangan sambil ngunuk,
,tangan ini pegal karena menulis terlalu lama,ima ta genga leng le lalo ka nules,
,"setelah makan, Ayah baring sambil membaca koran","jira mangan, bapak ngulang jangka baca koran",
,padi yang menguning di ladang tanda panen sudah dekat,pade kuning pang uma berarti ya roa mo panen,
,nenek menyiram bunga setiap pagi agar tetap segar,papen siram kemmang runtung jaga bau kemang tekar,
,ayah pergi petik jagung,bapak alo bau baso,
Aditya Rizaldi (221001034),Aku,Kaji,
,Kamu,Kelam,
,Pergi,Kona,
,Kalian,Nene,
,Pohon,Puin,
,Sumur,Buin,
,Ambil,Ete,
,Burung,Pio,
,Bohong,Bola,
,Aku,Kaji,
,Kamu,Kelam,
,Pergi,Kona,
,Kalian,Nene,
,Pohon,Puin,
,Air,Ai,
,Tidak,Nosi,
,Gatal,Mesang,
,Mandi,Maning,
,Pintu,Lawang,
,Lupa,Kalupa,
,Seperti,Mara,
,Makan,Mangan,
,Jatuh,Teri,
,Tangga,Anar,
,Pergi,Alo,
,Rumah,Bale,
,Duduk,Tokal,
,Tidur,Tunung,
,Sejuk,Senap,
,Jalan,Ola,
,Jelek,Lenge,
,Berkelahi,Bekepa,
,Kenapa,Kuda,
,Tanah,Tana,
,Kenyang,Besir,
,Baju,Lamung,
,Sendok,Sidu,
,Matahari,Ano,
,Celana,Seluar,
,Dekat,Parak,
,Pisau,Lading,
,Daun,Godong,
,Jatuh,Teri,
,Dorong,Surung,
,Kuda,Jaran,
,Permisi,Tabe,
,cepat,kotar,
,Lihat,Gita,
,Ujung,Poto,
,Pintu,Lawang,
,Seperti,Mara,
,Rambut,Bulu,
,Kasihan,Pedi,
,Ribut,Tomas,
,Besar,Rango,
,Mengatur,Periri,
,Beubah,Baroba,
,goreng,Siong,
,Pakai,Kenang,
,Pintu,Lawang,
,Bakar,Tunung,
,Pisang,Punti,
,Terkejut ,Teria,
,Nyala ,Melik,
,Pulang,Mole,
,Diam,Tedu,
,Rebus,Kela ,
,Banyak,Peno,
,Buruk,Lenge,
,Kebun,Keban,
,Jalan ,Ola,
,Kam ,Sudah,
,Kuda,kenapa,
,Banyak,peno,
,Sapi,Sampi,
,Cepat,Kotar ,
,Tidur,Mangan,
,Ayo,Tum,
,Pergi,Lalo,
,Bermain,Bekedek,
,Orang ,Tau,
,Mana,Me,
,Kamu,Sia,
,Saya ,Kaji,
,Mandi,Maning ,
,Pagi,Jaga,
,Pang,Di,
,Kotor ,Lesik,
,Bale,Rumah,
,Itu,Dean,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,Aku bangun pagi,kaji koat jaga,
,Ibu sedang memasak nasi,Ema muntu masak me,
,Ayah membaca koran ,bapa muntu baca koran,
,Saya minum air putih ,kaji inum ai puti,
,Adik sedang menonton televisi,adi  muntu manto tipi,
,Cuaca hari ini sangat cerah,geras balong ano ta ,
,Saya menyapu halaman rumah,kaji nyapu pang pekarangan bale,
,Nenek menyiram bunga setiap hari,abe siram kemang runtung ano,
,kucing saya tidur dikursi,bodok kaji tunung pang kursi,
,Ayah sedang memperbaiki lampu,bapa muntu seterang lampu,
,Ibu membeli sayur dipasar,ema alo beli sayur ko amat,
,Saya mengantar adik ke sekolah,kaji antat adi lako sekolah,
,kami makan malam bersama,kami mengan peteng berema,
,saya belajar matematika di meja belajar,kaji belajar matematika pang meja belajar,
,Saya membuatkan teh untuk teman yang sedang datang ,kaji pina teh tawa dengan de ya datang,
,teman saya tertawa sangat keras,keras lalo ketawa dengan kaji,
,kakak mencuci motor dihalaman,kaka muntu biso motor pang pekarangan,
,hujan turun deras sejak tadi sore,Rea turin ujan kaling tone rawi,
,saya sedang membaca,kaji muntu baca buku,
,ibu membuat kue ,ema muntu pina tepung,
,saya menyetrika baju ,kaji muntu setrika lamung,
,teman saya meminjam charger  ,dengan kaji sole cas hp,
,Saya sedang mendengarkan musik,kaji muntu menong musik,
,Adik saya bermain layangan di taman,adi kaji muntu pedek layang pang lapangan ,
,Saya menyiram tanaman hias  di teras rumah,kaji siram kemang pang teras bale,
,Teman saya mengajak makan bakso ,dengan kaji ajak kaji lalo kakan bakso,
,Saya mengantar paket ,kaji lao antat paket ,
,Kaka belajar sambil mendengarkan lagu,kaka muntu belajar sambil menong lagu,
,saya mengisi ulang air ,kaji isi ulang ai galon,
,ibu sedang menjemur pakaian,ma muntu sea lamung ,
,saya tertidur setelah membaca buku,kaji tunung jure baca buku,
,Teman saya memesan makanan,dengan kaji pesan ema ,
,Saya duduk ditahalaman rumah,kaji tokal pang pekarangan bale,
,kakek sedang membaca buku  ,abe muntu baca buku ,
,saya memotong kuku karena sudah panjang,kaji tetak kuku ling kam belo,
,ibu mencuci beras untuk dimasak,Ema muntu biso loto kenang  yamasak,
,Saya menyiapkan bekal,kaji pina sedo,
,Adik menggambar rumah dan pohon di buku gambar,Adi muntu pina bale ke puin pang buku gambar,
,saya membuka jendela,kaji buka jendela,
,ayah menyiram pohon mangga,bapa siram puin pelam,
,Saya menyusun buku ,kaji periri  buku,
,Adik memakan roti,Adi kakan roti,
,Ibu menyiapkan sarapan,ema mutntu periri pang mangan,
,saya mengantar sampah ,kaji alo antat roro ,
,Mengelap meja makan ,lap meja pang mangan,
,saya membantu ibu mencuci sayar,kaji tulung ema biso sayur,
,saya menutup pintu,kaji tutup lawang,
,saya membersihkan wc,kaji biso wc,
,Saya mencuci tangan sebelum makan,Kaji biso ima senopa mangan,
,Saya pergi ke ladang,kaji pergi ke gempang,
,Jalan itu sudah rusak,kam rusak ola nan,
,Kenapa banyak sapinya,kuda peno sampi nan,
,Kenapa cepat sekali tidur,Kuda kotar  lalo tunung,
,Ayo pergi  main,Tum lalo bekedek,
,Sudah pergi mandi ke,Kam Maning ke ,
,Orang mana kamu,Tau me sia,
,Saya mandi Pagi,Kaji maning jaga,
,Saya belajar di kelas ,Kaji ,
,Saya belajar dikelas,Kaji  belajar pang kelas ,
,Kenapa kotor sekali rumah itu,Kuda lesik bale nan,
,Kamu pakai tas baru,kau kenang tas beru,
,kamu darimana,Me ka lako mu,
,saya suka makan ayam,Kaji beri kakan ayam ,
Lepi Yusman Oktamaori (221001111),Rumah,Bale,
,Makan,Magan,
,Pintu,Lawang,
,Rambut,Bulu,
,Hari,Ano,
,Sawah,Orong,
,Botol,Butil,
,Piring,Talang,
,Air,Ai,
,Tidur,Tunung,
,Pohon,Puin,
,Tangan,Ima,
,Kaki,Ne,
,Perut,Tian,
,Kucing,Bodok,
,Laut,Let,
,Gunung,Olat,
,Pagi,Jaga,
,Sore,Rawi,
,Malam,Petang,
,Baju,Lamung,
,Celana,Seluar,
,Kuda,Jaran,
,Duduk,Tokal,
,Berdiri,Manang,
,Bangun,Koat,
,Telinga,Kuping,
,Gigi,Isit,
,Padi,Pade,
,Marah,Ngamuk,
,Senang,Kemeri,
,Banyak,Peno,
,Sedikit,Sekedi,
,Besar,Rea,
,Kecil,Ode,
,Cepat,Kotar,
,Pelan,Lao,
,Sulit,Kesakit,
,Diam,Tedu,
,Tanya,Stoan,
,Ambil,Ete,
,Cari,Buya,
,Sembunyi,Besio,
,Taruh,Olo,
,Buang,Bolang,
,Burung,Pio,
,Terbang,Ngibar,
,Naik,Ntek,
,Turun,Turen,
,Panjang,Belo,
,Pendek,Pene,
,Mandi,Maning,
,Sarapan,Besebo,
,Takut,Takit,
,Tunggu,Tari,
,Sebentar,Sengara,
,dingin,ngelar,
,Biji,modeng,
,Bunga,Kemang,
,Ribut,Tomas,
,Pipi,Papar,
,Pedas,Padang,
,liat ,gita,
,panci,pemongka,
,wangi,mampis,
,petir,gunter,
,mendengar,remenong,
,mengunyah,ngame,
,bernafas,beriyak,
,pukul,owe,
,pasar,amat,
,bawa,bentan,
,merdu ,maras,
,berenang,nange,
,berhamburan,kaseang,
,ngobrol,berape,
,tenggelam,kebelak,
,melihat,begita,
,kelapa,nyir,
,bau,mamung,
,merah,mira,
,daun,godong,
,kapan,pidan,
,kemana,mekena,
,cucu,papu,
,tikus,tikis,
,satu,sopo,
,jatuh ,tri,
,kebun,keban,
,zuhur,luher,
,bawa,bentan,
,badan,parana,
,sendok,sidu,
,tangga,anar,
,siang,tengari,
,garam,sira,
,saya,kaji,
,gatal,mesang,
,kecil,ode,
,gelap,ungkap,
,Saya Bangun Pagi,Kaji Koat Jaga,
,Saya Pergi main,Kaji Alo Bekedek,
,Saya Pergi Kerumah Teman,Kaji Alo Ko Bale Dengan,
,Saya Pergi Ke laut,Kaji Alo ko Let,
,Saya Pergi Ke Sawah,Kaji Alo Ko orong,
,Ibu Lagi Masak,Ema Ntu Masak,
,Saya Membersihkan Rumah,Kaji Sersi Bale,
,Saya Pergi Makan,Kaji Alo Mangan,
,Tangan Saya Patah Gara-gara Main Bola,Ima Kaji Polak Gara-Gara Main Bal,
,Hari ini Ibu Pergi Mencuci Baju Ke Sungai,Ano ta ema Alo popo lamung ko brang,
,Saya suka makan nasi goreng,Kaji Beri kakan me siong,
,Saya berangkat sekolah,kaji alo sekolah,
,Ibu lagi Mencuci piring,ema ntu biso talang,
,Ayah Pergi naik gunung,Bapak alo ntek olat,
,Adik saya memakai baju baru,Adi saya Kenang lamung beru,
,Ayah sedang duduk di depan rumah,Bapa ntu tokal nangkang bale,
,Ayah sakit gigi,Bapa ngering isit,
,Saya Sakit perut,Kaji ngering tian,
,Ayah pergi nonton balapan kuda,bapa alo panto barapan jaran,
,Ayah pergi nonton bapalan kerbau,bapa alo panto barapan kebo,
,Saya minum air,kaji nginum ai,
,Saya mengantar adik ke sekolah,Kaji alo antat adi ko sekolah,
,Saya pergi membantu ayah ke sawah,Kaji alo tulung bapa ko orong,
,kaka sedang mendengar musik,kaka ntu menong musik,
,Ayah marah gara-gara saya mandi di sungai ,bapa ngamuk gara-gara kaji maning pang brang,
,Apa kabar,meluk rungan,
,Saya senang dikasih hadiah,kaji kemeri kena beang hadiah,
,Saya ketiduran tadi malam,ka lap mata kaji serawi,
,Saya memelihara kucing,kaji patik bodok,
,Saya mempunyai banyak teman,kaji peno dengan,
,Saya sudah makan ,kaji kam mangan,
,Saya pergi tembak burung ,Kaji alo temak pio,
,Rumah kakek kotor,Bale abe lesik,
,Ayah sedang bekerja di sawah,Bapa ntu reboat pang orong,
,Ibu masak ikan di dapur,Ema masak jangan pang dapur,
,Nama saya Lepi,Singin kaji Lepi,
,Siapa nama kamu,Sai singin sia,
,Saya bertanya ke teman,Kaji ketoan dengan,
,Ini rumah saya,ta bale kaji,
,Dimana rumah kamu,Mpang bale sia,
,Minta tolong cari kunci motor saya,Eneng tulung buya kunci motor kaji,
,Saya diam ketika di dalam kelas,kaji tedi ntu dalam kelas,
,saya pergi makan dulu,kaji alo mangan nung,
,Saya pergi tidur,kaji alo tunung,
,Kakak membuat kopi,kaka pina kopi,
,Saya menunggu ayah ,kaji tari bapak,
,Saya merapikan kamar,kaji periri kamar,
,Saya turun dari gunung,kaji turen kaleng olat,
,Saya pergi membuang sampah,kaji alo bolang roro,
,Saya menaruh kunci diatas meja,kaji olo kunci pang bao meja,
,Saya mengambil kunci diatas lemari,kaji ete kunci pang bao lemari,
,Kamu pergi kemana,melako sia,
,Jangan Lupa bawa payung,nakelupa bawa payung,
,Saya suka bermain bola,kaji beri main bal,
,Saya belum mandi,Kaji nopoka maning,
,Saya lupa membawa laptop,kaji kelupa bawa laptop,
,Saya mandi lalu sarapan,kaji maning tres besebo,
,Malam ini saya tidak bisa tidur,petang ta nobau kaji tunung,
,Sekarang jam berapa,jam pida to,
,Gunung itu tinggi sekali,olat nan tingi benar,
,Telinga adik saya sakit,Kuping adi kaji ngering,
,Saya takut kucing,kaji takit bodok,
,Tunggu sebentar,Tari sengara,
,Hari ini hari senin,ano ta ano senin,
,Adik bermain di luar,adi bekedek pang luar,
,Saya pergi mandi dulu,kaji alo maning nung,
,Saya pergi makan dulu,kaji alo mangan nung,
,Rumah saya dekat sekolah,bale kaji parak ke sekolah,
,Saya tidak tahu,no kaji to,
,Ini baju baru saya,ta lamung beru kaji,
,cuaca hari ini dingin,cuaca ano ta ngelar,
,saya meminum air dingin,kaji inum ai ngelar,
,Minta jajannya sedikit,eneng tepung sekedi,
,Ayah sudah berangkat kerja,kam alo kerja bapa,
,Ada liat kunci ngga,ada gita kunci ke,
,Ayo kita keluar main,temo tu les bekedek,
,Hari ini hari rabu,ano ta ano rebo,
,ibu pergi ke pasar,ema alo ko amat,
,saya berenang di laut,kaji nange pang let,
,air ini sangat dingin,ngelar ai ta,
,pergi sana,alom kona,
,saya pergi bersema teman,kaji alo berema ke dengan,
,petirnya besar,rea gunter nan,
,saya pukul nanti,ya kaji owe ndi,
,merdu sekali suara saya,maras lalo seda kaji,
,wangi sekali baunya,mampis benar mamung,
,minggir jangan di jalan,mirek na pang ola,
,celana saya robek ,seluar kaji berek,
,belajar menjahit pakaian,belajar ngejet kere lamung,
,bertengkar di depan jalan raya,basengal nangkang ola rea,
,saya lapar mau makan,panas tian kaji sate mangan,
,bendungan itu baru jadi kemarin,embung nan seperap ka jadi,
,piringnya di atur duluan,atur pingan dunung,
,saya mau mencuci piring dulu,kaji berentas dunung,
,"lengket sekali rambut saya, mungkin karena jarang mandi","lekat benar bulu otak kaji, kira leng jarang maning",
,jangan berlari nanti jatuh,na belari endi teri,
,nanti malam saya keluar,ndi petang kaji les,
,zuhur tadi ada gempa,luher ita ada liner,
,kuat sekali ngobro,kuat benar berape,
,mundur sedikit coba,suret sedi kadu,
